Serial number,Phone number,Location,Occupation,Qualified,Age,Type,Clients Attended,Minimum wage,Aadhar Card,Gender,Doorstep Service,Morning Available,Afternoon Available,Evening Available,References
237,8124850462,Deccan,Electrician,Yes,38,Part time,6,1500,8499-6398-5162,Male,,Yes,Yes,No,
238,9423358628,Deccan,Electrician,No,34,Full time,2,3000,5177-3663-4911,Male,,Yes,Yes,Yes,
239,9518914333,Katraj,Accountant,Yes,31,Part time,1,4500,0852-6039-0543,Male,,No,Yes,Yes,
240,8771571482,Kondhwa,Cook,No,18,Part time,4,2500,7862-0385-2601,Female,Yes,Yes,No,Yes,
241,7010725914,Bavdhan,Plumber,No,36,Part time,13,3500,4584-8269-2244,Male,,Yes,Yes,No,
242,9057907332,Balewadi,Accountant,No,30,Part time,4,1500,9834-9692-2412,Female,,No,Yes,Yes,
243,7477338606,Wagholi,Mehndi Artist,Yes,24,Part time,14,3000,7689-5010-3686,Female,No,Yes,No,Yes,
244,8301140036,Katraj,Security Guard,No,28,Part time,10,7000,5761-6200-0148,Male,,No,Yes,Yes,
245,8046262435,Shivajinagar,Accountant,Yes,31,Full time,10,6000,4669-3092-5436,Female,,Yes,Yes,No,
246,7578338730,Salisbury Park,Receptionist,No,26,Full time,4,7000,3352-8772-3191,Female,,Yes,Yes,No,
247,7042272795,Pashan,Cashier,Yes,34,Part time,12,6000,4021-6188-4536,Female,,Yes,Yes,No,
248,7872033222,Khadakwasla,Receptionist,Yes,24,Part time,15,1000,3083-4548-2235,Female,,Yes,Yes,No,
249,9838147749,Dhayari,Brick mason,Yes,21,Full time,13,5000,5541-7034-7645,Male,,Yes,Yes,Yes,
250,8082430068,Erandwane,Cashier,No,25,Full time,12,3500,3134-1169-0469,Male,,Yes,Yes,Yes,
251,8772417237,Khadakwasla,Receptionist,No,23,Part time,4,4000,5668-6570-0411,Male,,Yes,Yes,No,
252,9454892079,Vishrantwadi,Salesperson,No,22,Full time,2,4000,8470-0626-4532,Male,,Yes,Yes,Yes,
253,8907625820,Saswad,Security Guard,Yes,23,Part time,2,1500,6794-6087-0173,Male,,Yes,Yes,No,
254,8660756761,Dattawadi,Cashier,No,27,Part time,8,3500,4703-4081-7548,Female,,Yes,Yes,Yes,
255,9973785077,Hinjewadi,Maid,Yes,29,Part time,8,3000,5701-4423-3319,Female,Yes,Yes,No,Yes,
256,8365064560,Chinchwad,Delivery Boy,No,29,Full time,12,6000,2448-4982-7524,Male,,Yes,Yes,Yes,
257,8735798153,Ganeshkhind,Delivery Boy,Yes,22,Part time,15,1000,1295-0051-8428,Male,,Yes,Yes,No,
258,7650365519,Aundh,Cashier,Yes,32,Part time,9,7000,9338-6880-4891,Male,,No,Yes,Yes,
259,9800327051,Erandwane,Cashier,Yes,35,Part time,10,4000,0666-2918-7719,Male,,Yes,Yes,No,
260,9116125277,Kondhwa,Waitress,No,29,Full time,12,5500,8090-3508-6553,Female,,Yes,Yes,Yes,
261,8771885260,Gultekdi,Accountant,Yes,24,Part time,11,4500,4931-7215-0168,Male,,Yes,No,No,
262,9597561069,Ganeshkhind,Driver,No,37,Full time,10,4500,9339-4857-2605,Male,,Yes,Yes,Yes,
263,8785248413,Sahakarnagar,Driver,No,19,Full time,8,7000,5402-2187-0494,Male,,Yes,Yes,Yes,
264,9839348797,Kharadi,Receptionist,No,20,Full time,13,1000,1726-5767-0070,Male,,Yes,Yes,Yes,
265,8063952183,Khadakwasla,Tailor,No,24,Part time,5,1000,9140-9475-6569,Female,No,Yes,Yes,Yes,
266,8661237242,Wanowrie,Janitor,Yes,30,Part time,9,4500,1445-2001-1568,Male,,Yes,Yes,No,
267,9226949399,Ghorpadi,Waiter,No,22,Full time,10,5500,9090-4597-8655,Male,,Yes,Yes,Yes,
268,9237214278,Saswad,Janitor,No,20,Full time,3,1000,5389-2948-7170,Male,,Yes,Yes,Yes,
269,7926356644,Deccan,Salesperson,Yes,23,Full time,6,1000,9957-7591-2082,Female,,Yes,Yes,No,
270,8881536472,Fatimanagar,Painter,No,25,Part time,1,2500,3173-8043-0602,Male,,No,Yes,Yes,
271,9570772243,Singhgad Road,Waiter,Yes,34,Part time,7,3000,1363-8687-3331,Male,,No,Yes,Yes,
272,8087267653,Saswad,Accountant,No,26,Part time,4,7000,5584-6641-7611,Female,,Yes,Yes,No,
273,9476548937,Hinjewadi,Janitor,No,19,Full time,11,3000,0347-6777-1126,Male,,Yes,Yes,Yes,
274,7203605705,Wanowrie,Salesperson,Yes,23,Part time,12,2500,9373-9173-1517,Male,,Yes,Yes,No,
275,9204257600,Parvati,Carpenter,No,20,Part time,3,3500,0584-4216-6565,Male,,Yes,No,No,
276,7079941670,Ghorpadi,Carpenter,Yes,32,Full time,12,4500,6884-2508-9875,Male,,Yes,Yes,Yes,
277,7221379969,Salisbury Park,Waiter,Yes,33,Full time,3,6000,3464-4133-8128,Male,,Yes,Yes,Yes,
278,9910948478,Shivajinagar,Security Guard,No,32,Full time,2,4500,8604-8859-7623,Male,,Yes,Yes,Yes,
279,7673230545,Ganeshkhind,Receptionist,No,29,Part time,4,2000,4727-0903-6463,Female,,Yes,Yes,No,
280,9767635708,Sahakarnagar,Cashier,No,28,Part time,7,5000,8908-2834-2864,Female,,Yes,Yes,No,
281,8726436643,Dattawadi,Cashier,No,34,Full time,7,4000,1301-9256-7735,Male,,Yes,Yes,Yes,
282,9195480737,Fursungi,Mehndi Artist,Yes,24,Part time,10,4000,0049-6565-7865,Female,No,Yes,No,Yes,
283,9872068397,Singhgad Road,Janitor,No,25,Part time,2,2000,6207-2803-6487,Male,,Yes,Yes,No,
284,8038223907,Hadapsar,Janitor,No,25,Part time,2,6000,8155-6444-9551,Male,,Yes,Yes,No,
285,8510928789,Ambegaon,Salesperson,Yes,30,Part time,5,2000,0649-4885-7848,Male,,Yes,Yes,No,
286,9819593964,Mundhwa,Salesperson,Yes,35,Full time,9,5000,3706-7171-9476,Male,,Yes,Yes,Yes,
287,9638175343,Koregaon Park,Mechanic,No,40,Full time,7,4500,9422-5704-6182,Male,,Yes,Yes,Yes,
288,7355377592,Vishrantwadi,Tailor,No,21,Part time,1,3500,8941-8100-4464,Male,Yes,No,Yes,Yes,
289,7646292624,Paud Road,Cook,No,25,Part time,13,5500,9699-1554-0334,Female,Yes,Yes,No,Yes,
290,9026527759,Khadki,Janitor,Yes,25,Full time,10,1500,2344-3965-7289,Male,,Yes,Yes,Yes,
291,8380603046,Nigdi,Receptionist,Yes,24,Part time,8,3500,7207-1023-8375,Female,,Yes,Yes,No,
292,9490326879,Vishrantwadi,Carpenter,Yes,26,Part time,2,1000,1815-8943-4375,Male,,No,Yes,Yes,
293,9231836136,Kharadi,Mehndi Artist,Yes,34,Part time,8,6500,9121-7380-8808,Female,No,Yes,Yes,No,
294,9617416282,Baner,Maid,No,33,Part time,5,2500,5128-6445-6690,Female,Yes,Yes,No,Yes,
295,8922853625,Dhankawadi,Janitor,Yes,39,Full time,8,2500,8887-4256-9333,Male,,Yes,Yes,Yes,
296,8203895290,Hadapsar,Cashier,Yes,31,Full time,13,4000,5837-6770-2671,Male,,Yes,Yes,Yes,
297,8818743706,Singhgad Road,Cook,Yes,36,Part time,13,7000,7946-5631-2693,Male,Yes,No,Yes,Yes,
298,8002305029,Chinchwad,Cashier,No,24,Part time,12,7000,5068-8979-7920,Female,,Yes,Yes,No,
299,8649881070,Mundhwa,Receptionist,Yes,31,Part time,11,2000,2558-1645-8829,Male,,No,Yes,Yes,
300,9934058989,Pashan,Driver,No,29,Part time,5,6500,0293-8721-9915,Male,,No,Yes,Yes,
301,8129244053,Balewadi,Salesperson,No,39,Full time,1,2500,7210-5572-1859,Male,,Yes,Yes,Yes,
302,9854789801,Fursungi,Waiter,No,37,Part time,9,3000,3749-5645-9680,Male,,Yes,Yes,No,
303,9949527281,Nigdi,Waiter,Yes,39,Part time,13,7000,2131-5578-3002,Male,,No,Yes,Yes,
304,8751772574,Dattawadi,Cashier,Yes,24,Part time,2,3000,0701-7257-3895,Female,,Yes,Yes,No,
305,9373258639,Bibewadi,Tailor,Yes,25,Part time,13,6000,0189-9029-7446,Male,Yes,No,Yes,Yes,
306,8355811126,Swargate,Delivery Boy,No,27,Full time,1,4500,6428-4944-0202,Male,,Yes,Yes,Yes,
307,9557728206,Swargate,Cashier,No,29,Full time,9,6000,5521-6632-3069,Male,,Yes,Yes,Yes,
308,7481055600,Parvati,Tailor,Yes,23,Full time,8,2500,5131-5717-2797,Male,No,Yes,Yes,Yes,
309,9721251431,Parvati,Receptionist,Yes,31,Full time,3,2500,1502-6864-4502,Male,,Yes,Yes,Yes,
310,7302880912,Bibewadi,Painter,Yes,35,Part time,10,2000,7146-0026-9003,Male,,Yes,Yes,No,
311,9775714882,Khadakwasla,Salesperson,No,27,Full time,4,7000,5341-7076-9131,Female,,Yes,Yes,No,
312,8346181939,Khadakwasla,Accountant,No,31,Full time,4,5500,1733-2384-6339,Male,,Yes,Yes,Yes,
313,8408987616,Koregaon Park,Tailor,No,33,Part time,11,3000,7931-5149-0877,Male,Yes,No,Yes,Yes,
314,9005923342,Ghorpadi,Plumber,Yes,33,Part time,8,3500,4667-2726-8222,Male,,Yes,Yes,No,
315,7147059161,Khadakwasla,Accountant,Yes,26,Full time,7,4000,3189-6647-9202,Male,,Yes,Yes,Yes,
316,8932778203,Kharadi,Brick mason,Yes,37,Part time,5,7000,8378-9526-0997,Male,,Yes,Yes,No,
317,8935538827,Nigdi,Waiter,Yes,25,Part time,2,6000,4148-8782-6929,Male,,Yes,Yes,No,
318,9593708574,Pashan,Delivery Boy,Yes,34,Part time,3,1000,2567-3006-9292,Male,,No,Yes,Yes,
319,8852783562,Ganeshkhind,Mehndi Artist,Yes,25,Full time,14,6500,1435-4898-1753,Female,No,Yes,Yes,Yes,
320,9901485012,Kondhwa,Driver,Yes,30,Part time,11,7000,9376-8604-8968,Male,,Yes,Yes,No,
321,9192932788,Kharadi,Delivery Boy,No,33,Full time,14,1000,1094-5626-0892,Male,,Yes,Yes,Yes,
322,7621078306,Kothrud,Receptionist,No,29,Part time,11,7000,3012-1433-3136,Female,,Yes,Yes,No,
323,9012925730,Vitthalwadi,Worker,Yes,37,Part time,4,7000,6680-7208-6171,Male,,Yes,Yes,No,
324,8235199242,Gultekdi,Security Guard,Yes,27,Full time,10,2000,4086-7257-6341,Male,,Yes,Yes,Yes,
325,8099120335,Salisbury Park,Worker,Yes,37,Full time,13,7000,1201-2363-2754,Male,,Yes,Yes,Yes,
326,9855467173,Aundh,Waitress,Yes,29,Part time,7,1500,7804-3813-8553,Female,,Yes,Yes,No,
327,9863489097,Ganeshkhind,Tailor,No,27,Part time,2,4500,7660-0583-6334,Female,No,No,Yes,Yes,
328,8366290624,Singhgad Road,Maid,No,21,Full time,12,6000,6595-0687-8308,Female,Yes,Yes,No,Yes,
329,8192549840,Wanowrie,Worker,No,31,Part time,5,4000,1240-2898-0990,Male,,No,Yes,Yes,
330,9091105207,Erandwane,Electrician,Yes,31,Part time,12,1000,5324-7521-0696,Male,,Yes,Yes,No,
331,8281805247,Khadki,Receptionist,Yes,39,Full time,12,1000,3121-4973-7154,Male,,Yes,Yes,Yes,
332,8480657692,Nigdi,Salesperson,Yes,39,Full time,8,3000,8098-9602-9100,Male,,Yes,Yes,Yes,
333,9554370602,Baner,Tailor,No,35,Full time,13,2000,2687-7627-4138,Female,Yes,Yes,Yes,No,
334,8743814028,Bavdhan,Maid,No,25,Part time,7,6500,7424-5867-0241,Female,Yes,Yes,No,Yes,
335,7665837321,Kothrud,Painter,Yes,18,Part time,7,6000,3947-4900-3807,Male,,Yes,No,No,
336,9749794425,Dhankawadi,Driver,Yes,36,Part time,1,5500,0955-2190-3700,Male,,No,Yes,Yes,
337,9600925598,Pashan,Receptionist,Yes,31,Full time,8,5500,2110-0329-0501,Female,,Yes,Yes,No,
338,8174017155,Pashan,Tailor,Yes,28,Part time,14,4000,1518-5910-5385,Male,Yes,No,Yes,Yes,
339,9196165465,Mundhwa,Cook,No,27,Full time,10,7000,8975-7068-7717,Female,Yes,Yes,Yes,Yes,
340,7914317299,Deccan,Receptionist,No,24,Part time,7,2000,3939-1171-4523,Female,,Yes,Yes,No,
341,7945105849,Dattawadi,Salesperson,No,32,Part time,5,6000,4534-9195-7274,Female,,Yes,Yes,No,
342,8323958559,Wagholi,Receptionist,No,31,Full time,5,4000,7869-3573-2045,Male,,Yes,Yes,Yes,
343,7998939328,Deccan,Security Guard,Yes,28,Part time,14,4500,8048-3969-8706,Male,,No,Yes,Yes,
344,7930683148,Ganeshkhind,Cook,No,38,Full time,6,4500,0972-0664-1920,Male,No,Yes,Yes,Yes,
345,9577516209,Mundhwa,Accountant,No,31,Part time,11,1000,4018-7964-0898,Male,,No,Yes,Yes,
346,8218572399,Koregaon Park,Cook,Yes,27,Full time,13,4500,0623-9256-4148,Female,Yes,Yes,No,No,
347,9573954815,Erandwane,Janitor,Yes,36,Part time,4,2000,6441-0503-3184,Male,,No,Yes,Yes,
348,7866272023,Camp,Waitress,Yes,21,Full time,9,4000,9618-7793-7604,Female,,Yes,Yes,Yes,
349,9186178746,Ghorpadi,Salesperson,No,26,Full time,7,5000,1971-6369-3053,Male,,Yes,Yes,Yes,
350,9856177017,Bibewadi,Accountant,No,19,Full time,4,6000,3857-8344-8203,Female,,Yes,Yes,No,
351,8514758324,Wagholi,Receptionist,Yes,24,Part time,10,3500,0285-4931-4488,Male,,Yes,Yes,No,
352,8144234907,Dhankawadi,Mehndi Artist,No,22,Full time,9,5000,1490-0450-4305,Female,No,Yes,Yes,No,
353,8803355724,Wanowrie,Brick mason,Yes,29,Part time,12,6000,2624-0986-4802,Male,,No,Yes,Yes,
354,7908519438,Aundh,Cashier,Yes,20,Part time,2,4500,8593-3625-1250,Male,,Yes,Yes,No,
355,8307539866,Khadki,Electrician,No,39,Part time,7,3500,1900-2226-2091,Male,,No,Yes,Yes,
356,9485989468,Dhayari,Tailor,Yes,20,Part time,13,4500,8890-4110-2491,Female,No,Yes,Yes,No,
357,7058656550,Chinchwad,Salesperson,Yes,25,Full time,10,3500,8064-6054-3645,Female,,Yes,Yes,No,
358,8698222100,Nigdi,Accountant,No,38,Part time,8,6000,4968-2921-5698,Male,,No,No,Yes,
359,9982226805,Shivajinagar,Cook,Yes,20,Full time,10,1000,2869-9739-3925,Female,Yes,Yes,No,Yes,
360,9076812942,Vitthalwadi,Receptionist,Yes,31,Part time,6,7000,2078-1893-0372,Female,,Yes,Yes,No,
361,9803223220,Khadakwasla,Cashier,Yes,28,Part time,14,3500,8363-7259-6392,Male,,No,Yes,Yes,
362,8894276397,Ganeshkhind,Waiter,No,30,Part time,9,5000,8100-9343-9899,Male,,Yes,Yes,No,
363,8080785839,Hadapsar,Accountant,No,21,Part time,12,4500,2539-7683-5350,Female,,Yes,Yes,No,
364,7025497002,Koregaon Park,Painter,Yes,24,Full time,10,2000,7155-3927-6741,Male,,Yes,Yes,Yes,
365,8475905202,Kondhwa,Tailor,Yes,35,Part time,5,5000,0430-6825-2451,Male,No,Yes,Yes,No,
366,7541289517,Khadki,Salesperson,Yes,20,Full time,8,3500,8106-1619-1659,Female,,Yes,Yes,No,
367,8815153848,Parvati,Brick mason,Yes,22,Full time,14,3000,8526-7875-4650,Male,,Yes,Yes,Yes,
368,7502444338,Baner,Mechanic,No,31,Part time,14,5500,2742-7757-3150,Male,,Yes,Yes,No,
369,8367820550,Dhole Patil Road,Maid,No,19,Full time,15,6500,6851-7104-5802,Female,Yes,Yes,No,Yes,
370,9515913572,Ghorpadi,Receptionist,No,32,Part time,13,2000,2654-9529-4842,Female,,Yes,Yes,No,
371,7781370880,Fursungi,Cook,Yes,31,Full time,2,6500,0240-2713-5562,Female,Yes,Yes,No,No,
372,8217234159,Paud Road,Salesperson,No,20,Part time,9,1000,9049-2847-9629,Female,,Yes,Yes,Yes,
373,8096736466,Aundh,Tailor,Yes,32,Full time,10,2500,9593-7029-3844,Male,No,Yes,Yes,Yes,
374,7785093579,Ghorpadi,Accountant,No,20,Part time,11,7000,3817-9835-1118,Male,,Yes,No,No,
375,7409171617,Gultekdi,Security Guard,No,26,Part time,8,2500,8007-7027-1909,Male,,No,Yes,Yes,
376,9827889681,Camp,Cashier,No,30,Part time,4,1500,3156-4691-8115,Female,,Yes,Yes,No,
377,9978548175,Kharadi,Plumber,No,20,Full time,7,1000,8995-5986-7326,Male,,Yes,Yes,Yes,
378,8444569227,Dattawadi,Worker,No,38,Part time,13,4500,9454-6162-2043,Male,,Yes,Yes,No,
379,7985073520,Nigdi,Tailor,Yes,27,Full time,15,7000,9704-3014-9073,Male,No,Yes,Yes,Yes,
380,8976948198,Wanowrie,Cashier,No,27,Part time,2,1500,0722-1622-9157,Male,,No,Yes,Yes,
381,8303872884,Khadakwasla,Janitor,Yes,27,Full time,14,6000,8969-9676-0954,Male,,Yes,Yes,Yes,
382,9946937951,Khadakwasla,Cook,No,22,Full time,4,2000,5629-5373-2137,Male,Yes,Yes,Yes,Yes,
383,7483750498,Ambegaon,Mechanic,No,33,Part time,7,4500,1504-0759-8029,Male,,No,Yes,Yes,
384,7866788260,Dhole Patil Road,Salesperson,No,25,Full time,12,2500,1846-6358-6733,Female,,Yes,Yes,No,
385,8215218559,Ganeshkhind,Accountant,Yes,27,Part time,12,2500,8429-1488-2410,Male,,No,Yes,Yes,
386,8815909840,Paud Road,Maid,No,35,Full time,6,7000,3942-8395-8705,Female,Yes,Yes,No,Yes,
387,9648361778,Deccan,Receptionist,No,22,Part time,5,3500,4370-8399-4268,Female,,Yes,Yes,No,
388,8037539291,Wagholi,Salesperson,No,28,Full time,10,2500,3518-1484-5382,Female,,Yes,Yes,No,
389,7044559793,Kothrud,Delivery Boy,Yes,27,Part time,9,6000,8553-6773-3180,Male,,No,Yes,Yes,
390,7783392254,Fatimanagar,Receptionist,Yes,27,Full time,7,1000,9170-7252-1738,Male,,Yes,Yes,Yes,
391,8869598558,Gultekdi,Tailor,No,19,Part time,5,3500,7740-4585-0225,Female,No,Yes,Yes,No,
392,7355525469,Dhankawadi,Accountant,Yes,33,Full time,4,3500,8262-8172-1921,Female,,Yes,Yes,No,
393,9890313451,Katraj,Delivery Boy,Yes,31,Full time,14,6000,2023-1693-5883,Male,,Yes,Yes,Yes,
394,8184336093,Fursungi,Delivery Boy,No,35,Part time,1,4000,4769-3310-2323,Male,,Yes,Yes,No,
395,9506728053,Saswad,Mechanic,Yes,27,Full time,4,1500,2966-1875-3862,Male,,Yes,Yes,Yes,
396,8887080773,Ghorpadi,Waiter,No,22,Full time,8,2000,1476-9265-2631,Male,,Yes,Yes,Yes,
397,8163573589,Balewadi,Cook,Yes,25,Part time,4,4500,9215-5764-8951,Male,Yes,No,Yes,Yes,
398,7104633544,Singhgad Road,Brick mason,No,24,Part time,8,3500,4932-6477-1274,Male,,Yes,Yes,No,
399,8728566245,Balewadi,Brick mason,Yes,37,Part time,1,4500,8294-3646-4502,Male,,No,Yes,Yes,
400,9572212585,Baner,Tailor,Yes,20,Part time,8,5000,3399-7521-5944,Male,Yes,Yes,Yes,No,
401,9704794400,Mundhwa,Delivery Boy,No,32,Part time,14,3500,7756-9374-0576,Male,,Yes,Yes,No,
402,9636353899,Nigdi,Worker,No,27,Full time,12,3000,4170-7510-0336,Male,,Yes,Yes,Yes,
403,9454135256,Ghorpadi,Plumber,No,38,Full time,8,5000,9982-0436-3592,Male,,Yes,Yes,Yes,
404,8340914842,Aundh,Brick mason,No,27,Part time,5,1000,4282-7010-2172,Male,,Yes,No,Yes,
405,8711027914,Nigdi,Painter,Yes,26,Full time,7,1500,1269-3694-8760,Male,,Yes,Yes,Yes,
406,9128539050,Dhankawadi,Accountant,No,20,Full time,14,3500,6648-0625-7305,Female,,Yes,Yes,No,
407,8787601298,Hadapsar,Plumber,No,22,Full time,9,1500,5251-6883-9000,Male,,Yes,Yes,Yes,
408,9409344224,Chinchwad,Receptionist,Yes,30,Part time,6,5500,7305-1655-7665,Female,,Yes,Yes,No,
409,7635483908,Camp,Receptionist,Yes,21,Full time,11,1500,4198-0273-4423,Female,,Yes,Yes,No,
410,9962270528,Shivajinagar,Mechanic,Yes,36,Full time,4,7000,3754-1333-7636,Male,,Yes,Yes,Yes,
411,8519340389,Camp,Plumber,Yes,26,Full time,15,4000,3837-0043-5577,Male,,Yes,Yes,Yes,
412,9226182214,Khadakwasla,Electrician,Yes,23,Part time,12,4000,6942-4841-0315,Male,,Yes,Yes,No,
413,9252231908,Ambegaon,Cook,Yes,30,Part time,12,1500,4244-1905-6047,Male,Yes,Yes,Yes,No,
414,7328919981,Singhgad Road,Security Guard,No,25,Part time,11,3000,4234-7959-2800,Male,,Yes,Yes,No,
415,8968702026,Dhankawadi,Cook,No,27,Part time,8,3000,5470-3925-6262,Female,Yes,Yes,No,Yes,
416,9666314961,Ambegaon,Janitor,Yes,31,Part time,4,6000,3439-6975-3563,Male,,Yes,Yes,No,
417,8831928948,Erandwane,Waitress,Yes,29,Part time,9,6000,1223-2107-8729,Female,,Yes,Yes,No,
418,7068093860,Bibewadi,Cook,No,26,Full time,5,4000,4424-3191-2660,Female,Yes,Yes,No,No,
419,9061207215,Hinjewadi,Mechanic,No,24,Part time,11,3500,1955-4886-9749,Male,,No,Yes,Yes,
420,8435607789,Khadakwasla,Tailor,No,39,Full time,4,6000,2517-9611-1782,Male,No,Yes,Yes,Yes,
421,9724273237,Parvati,Receptionist,Yes,23,Full time,12,4000,8557-3135-5520,Female,,Yes,Yes,No,
422,7153244410,Vishrantwadi,Salesperson,Yes,20,Part time,7,6000,7937-2232-9653,Female,,Yes,No,Yes,
423,7684169599,Dattawadi,Worker,No,21,Part time,14,1500,8506-7354-9066,Male,,Yes,Yes,No,
424,9910430444,Khadki,Receptionist,No,33,Full time,7,3000,6316-9246-0436,Female,,Yes,Yes,No,
425,7806306655,Kondhwa,Cashier,No,18,Full time,13,1500,3897-3788-1509,Female,,Yes,Yes,No,
426,8703740956,Koregaon Park,Cook,No,28,Part time,12,2000,1100-8513-9219,Female,Yes,Yes,No,Yes,
427,8796962632,Hinjewadi,Salesperson,Yes,20,Part time,6,2500,9645-3434-4121,Female,,Yes,Yes,No,
428,7441350940,Dattawadi,Waitress,Yes,19,Part time,1,4500,0618-6899-4151,Female,,No,Yes,Yes,
429,7165480745,Bibewadi,Cook,Yes,26,Part time,9,7000,0889-9806-6539,Male,Yes,No,Yes,Yes,
430,7298742398,Katraj,Worker,Yes,26,Full time,2,6500,2791-2123-6067,Male,,Yes,Yes,Yes,
431,8001342680,Gultekdi,Salesperson,Yes,21,Full time,9,4000,5213-8232-0384,Female,,Yes,Yes,No,
432,8674408280,Ghorpadi,Maid,Yes,22,Part time,7,1500,0432-4292-0358,Female,Yes,Yes,No,Yes,
433,8413214417,Pashan,Electrician,No,26,Part time,2,6000,0640-2765-1342,Male,,No,Yes,Yes,
434,9734325628,Chinchwad,Mechanic,Yes,29,Part time,4,6000,6422-7588-5560,Male,,Yes,Yes,No,
435,9414830838,Paud Road,Waiter,Yes,37,Full time,10,1000,4323-7386-9695,Male,,Yes,Yes,Yes,
436,7742049362,Kothrud,Accountant,No,19,Part time,11,6500,1895-7886-0564,Female,,No,Yes,Yes,
437,9443039441,Koregaon Park,Plumber,No,34,Part time,7,6000,8316-9907-3577,Male,,No,Yes,Yes,
438,7364694837,Shivajinagar,Tailor,No,28,Part time,9,5000,7395-1329-5374,Male,No,No,Yes,Yes,
439,7355998790,Koregaon Park,Security Guard,No,40,Part time,6,7000,9547-0193-1456,Male,,No,Yes,Yes,
440,7147379868,Shivajinagar,Delivery Boy,No,32,Part time,12,2000,7381-1021-4653,Male,,Yes,Yes,No,
441,9922446945,Dattawadi,Cook,No,23,Full time,3,5500,9812-7923-1221,Female,Yes,Yes,No,Yes,
442,8235591296,Mundhwa,Waiter,Yes,18,Part time,11,6000,2669-8133-0329,Male,,Yes,Yes,No,
443,9487045520,Chinchwad,Painter,Yes,24,Part time,11,5500,2865-0830-6502,Male,,No,Yes,Yes,
444,9346086372,Vitthalwadi,Janitor,Yes,26,Part time,13,1000,8580-6247-9748,Male,,No,Yes,Yes,
445,9622704151,Kondhwa,Salesperson,No,31,Full time,11,7000,7330-6739-0851,Male,,Yes,Yes,Yes,
446,7967054373,Aundh,Tailor,Yes,20,Full time,4,7000,9770-5267-1518,Female,No,Yes,Yes,No,
447,8149677686,Parvati,Mehndi Artist,Yes,28,Part time,13,3500,2912-5095-9334,Female,Yes,Yes,Yes,No,
448,8135365440,Hinjewadi,Receptionist,Yes,35,Full time,6,3000,2488-1808-6367,Male,,Yes,Yes,Yes,
449,9969953680,Hadapsar,Accountant,No,35,Part time,4,5000,5224-2341-6552,Female,,Yes,Yes,No,
450,9528621306,Parvati,Receptionist,Yes,31,Full time,4,5500,1549-9714-6193,Female,,Yes,Yes,No,
451,9730747279,Ambegaon,Janitor,No,29,Full time,7,1000,2838-5894-6458,Male,,Yes,Yes,Yes,
452,9141273813,Dhole Patil Road,Mechanic,Yes,32,Part time,14,2000,0721-7081-8387,Male,,No,Yes,Yes,
453,7238126772,Kothrud,Maid,Yes,28,Part time,2,7000,0238-4264-2108,Female,Yes,Yes,No,Yes,
454,8758293530,Hinjewadi,Security Guard,No,31,Full time,2,7000,4587-2114-8647,Male,,Yes,Yes,Yes,
455,7427438119,Dhole Patil Road,Cook,No,33,Full time,13,6000,7403-1949-1985,Female,Yes,Yes,No,Yes,
456,9801080770,Mundhwa,Delivery Boy,Yes,23,Full time,2,4000,4964-5280-4134,Male,,Yes,Yes,Yes,
457,8668467068,Wanowrie,Tailor,No,31,Full time,12,1000,8525-7230-7974,Female,Yes,Yes,Yes,No,
458,9150311409,Hinjewadi,Cook,No,33,Full time,5,4500,2272-0702-5637,Female,Yes,Yes,No,No,
459,9232868603,Khadakwasla,Tailor,No,27,Full time,7,4000,2504-3695-7582,Male,No,Yes,Yes,Yes,
460,8028380114,Kothrud,Painter,Yes,30,Part time,8,3500,9368-4108-5744,Male,,Yes,Yes,No,
461,8056322755,Khadakwasla,Painter,No,20,Full time,5,1500,9336-6485-0670,Male,,Yes,Yes,Yes,
462,7336339050,Singhgad Road,Security Guard,Yes,30,Part time,4,6000,9828-9682-3332,Male,,No,Yes,Yes,
463,9903018941,Wagholi,Painter,Yes,22,Part time,14,6500,7697-3723-6703,Male,,Yes,Yes,No,
464,8637255380,Mundhwa,Tailor,No,30,Part time,13,4000,5509-5024-8482,Male,Yes,No,Yes,Yes,
465,8435739020,Sahakarnagar,Salesperson,Yes,25,Full time,9,2500,0794-8730-4930,Male,,Yes,Yes,Yes,
466,9696953393,Mundhwa,Accountant,Yes,18,Full time,13,3500,8593-2620-7261,Female,,Yes,Yes,No,
467,7340901492,Bavdhan,Waitress,No,31,Part time,7,7000,1520-5886-5145,Female,,Yes,Yes,No,
468,7215291354,Dhole Patil Road,Cashier,Yes,30,Part time,1,5500,8319-1217-4936,Female,,No,Yes,Yes,
469,8799716460,Balewadi,Cashier,No,24,Part time,12,6000,3024-2065-5350,Female,,Yes,Yes,No,
470,9334240526,Shivajinagar,Painter,No,31,Part time,4,7000,6211-6914-5817,Male,,Yes,Yes,No,
471,9492439879,Salisbury Park,Brick mason,No,28,Part time,8,4500,0328-1313-8831,Male,,No,Yes,Yes,
472,8973324770,Salisbury Park,Cashier,No,20,Full time,11,3500,1320-4342-9261,Male,,Yes,Yes,Yes,
473,9775012682,Shivajinagar,Brick mason,No,20,Part time,11,4000,6915-0203-7105,Male,,Yes,No,Yes,
474,7814434131,Saswad,Janitor,Yes,28,Part time,4,1500,5688-0375-6983,Male,,No,Yes,Yes,
